timeStamp,stats_time,stats_total_cpu_usage,cpu_0,cpu_1,cpu_2,cpu_3,cpu_4,cpu_5,cpu_6,cpu_7,memory_usage,memory_cache,memory_limit,rx_bytes,rx_dropped,rx_errors,rx_packets,tx_bytes,tx_dropped,tx_errors,tx_packets
2019-08-31T09:49:08.470654778Z,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-08-31T09:49:08.510537114Z,35,210936905,3751518,195404331,1330659,1900678,3024998,593775,4273431,657515,2543616,0,268435456,176,0,0,2,0,0,0,0
2019-08-31T09:49:09.538720534Z,1063,462451524,43363768,195587068,3356144,42712899,3501508,1156831,163403266,9370040,21168128,0,268435456,1232,0,0,10,0,0,0,0
2019-08-31T09:49:10.567727558Z,2092,713853999,51612793,203323249,4013348,51727961,3780575,2986192,194022577,202387304,24760320,0,268435456,2050,0,0,15,0,0,0,0
2019-08-31T09:49:11.592941Z,3117,969685181,51612793,203338583,4013348,51727961,3780575,3586117,194022577,457603227,24764416,0,268435456,2263,0,0,16,0,0,0,0
2019-08-31T09:49:12.622953437Z,4147,1215956936,51612793,205079473,4013348,51727961,4113141,4257730,194022577,701129913,26357760,0,268435456,2443,0,0,17,0,0,0,0
2019-08-31T09:49:13.650516832Z,5175,1479514720,51612793,210335018,4013348,51727961,4223297,4739724,194022577,958840002,29757440,0,268435456,2726,0,0,19,0,0,0,0
2019-08-31T09:49:14.672164076Z,6197,1745381934,51612793,210349064,4013348,51727961,4223297,5307489,194022577,1224125405,29827072,0,268435456,2726,0,0,19,0,0,0,0
2019-08-31T09:49:15.697573777Z,7222,1995770992,51630281,210361960,4013348,51744734,4318537,6931797,194022577,1472747758,31961088,0,268435456,2726,0,0,19,0,0,0,0
2019-08-31T09:49:16.730106046Z,8255,2243062662,51630281,215118862,4013348,51744734,4520163,8743504,194022577,1713269193,40841216,0,268435456,2906,0,0,20,0,0,0,0
2019-08-31T09:49:17.755704043Z,9280,2513548927,51630281,215130840,49156720,51744734,4772342,9290425,194022577,1937801008,40820736,0,268435456,2906,0,0,20,0,0,0,0
2019-08-31T09:49:18.778873881Z,10303,2766537921,51630281,215149718,301276753,51744734,5092214,9618793,194022577,1938002851,40820736,0,268435456,2906,0,0,20,0,0,0,0
2019-08-31T09:49:19.810777904Z,11335,3012991376,51680656,225232095,536759550,51789373,5379482,9618793,194022577,1938508850,49340416,0,268435456,2906,0,0,20,0,0,0,0
2019-08-31T09:49:20.839161162Z,12364,3266892702,51680656,225252139,790004216,51789373,5441508,9840382,194022577,1938861851,49160192,0,268435456,2906,0,0,20,0,0,0,0
2019-08-31T09:49:21.865747775Z,13390,3536403220,51680656,225272490,1058870138,51789373,5515085,9997820,194022577,1939255081,49160192,0,268435456,2976,0,0,21,0,0,0,0
2019-08-31T09:49:22.890962298Z,14415,3782827290,51680656,225294054,1304466986,51789373,5610486,10187385,194022577,1939775773,49422336,0,268435456,2976,0,0,21,0,0,0,0
2019-08-31T09:49:23.918860686Z,15443,4033325033,51680656,225314172,1553392820,51789373,5710657,10349218,194022577,1941065560,50671616,0,268435456,2976,0,0,21,0,0,0,0
2019-08-31T09:49:24.947327001Z,16472,4289215516,51699510,225332705,1806548369,51809152,5744948,10615137,194022577,1943443118,53358592,0,268435456,3156,0,0,22,0,0,0,0
2019-08-31T09:49:25.96921457Z,17494,4553365173,51699510,225352007,2068768188,51809152,5744948,10864350,194022577,1945104441,55599104,0,268435456,3156,0,0,22,0,0,0,0
2019-08-31T09:49:26.993134689Z,18518,4800335834,51699510,238000706,2301693539,51809152,5744948,11184737,194022577,1946180665,72671232,0,268435456,3156,0,0,22,0,0,0,0
2019-08-31T09:49:28.021790457Z,19546,5049976907,51953383,238009799,2550606594,51809152,5744948,11500740,194022577,1946329714,72671232,0,268435456,3156,0,0,22,0,0,0,0
2019-08-31T09:49:29.050710227Z,20575,5310427424,52305519,238026323,2810403623,51809152,5744948,11785568,194022577,1946329714,72671232,0,268435456,3156,0,0,22,0,0,0,0
2019-08-31T09:49:30.072286232Z,21597,5569938929,52633786,238037205,3069285807,51823143,5744948,12061749,194022577,1946329714,72671232,0,268435456,3156,0,0,22,0,0,0,0
2019-08-31T09:49:31.097682715Z,22622,5819483274,53010347,238052847,3318175698,51823143,5744948,12324000,194022577,1946329714,72671232,0,268435456,3156,0,0,22,0,0,0,0
2019-08-31T09:49:32.127762809Z,23652,6069103568,53488997,238062212,3567030706,51823143,6002409,12343810,194022577,1946329714,72671232,0,268435456,3156,0,0,22,0,0,0,0
2019-08-31T09:49:33.155529887Z,24680,6336346399,53918316,238129557,3833375592,51823143,6002409,12745091,194022577,1946329714,72671232,0,268435456,3156,0,0,22,0,0,0,0
2019-08-31T09:49:34.180564905Z,25705,6585980813,53918316,238557695,4058741420,75349674,6002409,13059008,194022577,1946329714,90935296,0,268435456,3156,0,0,22,0,0,0,0
2019-08-31T09:49:35.210631083Z,26735,6832184134,53927057,238917864,4304272184,75373787,6070420,13059008,194022577,1946541237,90935296,0,268435456,3156,0,0,22,0,0,0,0
