timeStamp,stats_time,stats_total_cpu_usage,cpu_0,cpu_1,cpu_2,cpu_3,cpu_4,cpu_5,cpu_6,cpu_7,memory_usage,memory_cache,memory_limit,rx_bytes,rx_dropped,rx_errors,rx_packets,tx_bytes,tx_dropped,tx_errors,tx_packets
2019-08-31T10:05:39.979062063Z,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-08-31T10:05:40.8605513Z,877,438784399,15964512,1105090,184802443,20827833,38046530,127448879,45958273,4630839,20963328,0,268435456,266,0,0,3,0,0,0,0
2019-08-31T10:05:41.883068456Z,1900,686681676,19188893,1105090,361394088,31974587,40541024,165126290,60988205,6363499,22749184,0,268435456,1457,0,0,11,0,0,0,0
2019-08-31T10:05:42.905738447Z,2922,932239892,19342043,1165380,602439381,31974587,44553679,165126290,61275033,6363499,24813568,0,268435456,2050,0,0,15,0,0,0,0
2019-08-31T10:05:43.931138353Z,3948,1186932278,19342043,1165380,685711327,31974587,44908390,268671532,128795520,6363499,26390528,0,268435456,2263,0,0,16,0,0,0,0
2019-08-31T10:05:44.958731226Z,4975,1463236663,19342043,1165380,685711327,31974587,44908390,537565805,129738979,12830152,29716480,0,268435456,2443,0,0,17,0,0,0,0
2019-08-31T10:05:45.984156076Z,6001,1718564412,19342043,1165380,685711327,31974587,44908390,792084364,130531667,12846654,29786112,0,268435456,2726,0,0,19,0,0,0,0
2019-08-31T10:05:47.010767162Z,7027,1972087612,19369487,1165380,685711327,31993914,44932392,1043195340,132873118,12846654,31891456,0,268435456,2726,0,0,19,0,0,0,0
2019-08-31T10:05:48.044988679Z,8061,2229411571,25994179,1165380,685932352,31993914,44932392,1291730572,134816128,12846654,40873984,0,268435456,2726,0,0,19,0,0,0,0
2019-08-31T10:05:49.068984334Z,9085,2494564447,26005823,1165380,686194872,31993914,44932392,1556214508,135210904,12846654,40873984,0,268435456,2906,0,0,20,0,0,0,0
2019-08-31T10:05:50.092064623Z,10109,2746381433,26017377,1165380,686282921,31993914,44932392,1807436539,135706256,12846654,40873984,0,268435456,2906,0,0,20,0,0,0,0
2019-08-31T10:05:51.11671452Z,11133,2998245824,26026981,1165380,737904832,31993914,44932392,2007194254,136050674,12977397,40886272,0,268435456,2906,0,0,20,0,0,0,0
2019-08-31T10:05:52.144931377Z,12161,3254156884,26026981,1165380,804745523,37551034,227799024,2007250516,136050674,13567752,49225728,0,268435456,2906,0,0,20,0,0,0,0
2019-08-31T10:05:53.168791997Z,13185,3525683088,26026981,1165380,804745523,37551034,498730001,2007266818,136050674,14146677,49225728,0,268435456,2976,0,0,21,0,0,0,0
2019-08-31T10:05:54.192040426Z,14209,3777574750,26026981,1165380,804745523,37551034,749991683,2007388523,136050674,14654952,49405952,0,268435456,2976,0,0,21,0,0,0,0
2019-08-31T10:05:55.216828932Z,15233,4029146343,26026981,1670686,804745523,88319811,949722221,2007613171,136050674,14997276,50737152,0,268435456,2976,0,0,21,0,0,0,0
2019-08-31T10:05:56.247619794Z,16264,4292840164,26026981,2717175,804745523,136592031,1008668593,2007680992,290561943,15846926,52977664,0,268435456,3156,0,0,22,0,0,0,0
2019-08-31T10:05:57.272312652Z,17289,4555983526,26026981,2717175,804849455,136797036,1269603163,2007693126,290561943,17734647,55218176,0,268435456,3156,0,0,22,0,0,0,0
2019-08-31T10:05:58.296644382Z,18313,4808213569,36471904,3236649,804870619,136954889,1496303771,2020850530,290561943,18963264,72736768,0,268435456,3156,0,0,22,0,0,0,0
2019-08-31T10:05:59.325578059Z,19342,5056359446,36471904,3595475,804870619,137281942,1743754249,2020860050,290561943,18963264,72736768,0,268435456,3156,0,0,22,0,0,0,0
2019-08-31T10:06:00.352636662Z,20369,5322031045,36471904,4029202,805085695,137400244,2008644470,2020874323,290561943,18963264,72736768,0,268435456,3156,0,0,22,0,0,0,0
2019-08-31T10:06:01.375453388Z,21392,5576946237,36471904,4352303,805246707,137478098,2262970837,2020884739,290578385,18963264,72736768,0,268435456,3156,0,0,22,0,0,0,0
2019-08-31T10:06:02.384696425Z,22401,5825512972,36471904,4352303,805345137,137536598,2510750145,2021097888,290578385,19380612,72736768,0,268435456,3156,0,0,22,0,0,0,0
2019-08-31T10:06:03.410510239Z,23427,6073991339,36471904,4600072,805345137,137743963,2758489228,2021231915,290578385,19530735,72736768,0,268435456,3156,0,0,22,0,0,0,0
