timeStamp,stats_time,stats_total_cpu_usage,cpu_0,cpu_1,cpu_2,cpu_3,cpu_4,cpu_5,cpu_6,cpu_7,memory_usage,memory_cache,memory_limit,rx_bytes,rx_dropped,rx_errors,rx_packets,tx_bytes,tx_dropped,tx_errors,tx_packets
2019-08-31T11:23:26.280549517Z,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-08-31T11:23:26.848100539Z,563,606506040,6580769,185415430,29541664,2837520,3316710,7055605,254465553,117292789,22073344,0,2147483648,266,0,0,3,0,0,0,0
2019-08-31T11:23:27.871629206Z,1586,1373444829,9848018,185523323,29541664,2920350,4017159,7055605,1016983456,117555254,28233728,0,2147483648,1007,0,0,9,0,0,0,0
2019-08-31T11:23:28.896598952Z,2611,2136374010,9977532,185537828,29541664,3017637,4306334,7055605,1779305692,117631718,28233728,0,2147483648,2050,0,0,15,0,0,0,0
2019-08-31T11:23:29.918599855Z,3633,2892897223,10026544,185537828,29541664,3179117,4679433,7148269,2535152650,117631718,28364800,0,2147483648,2263,0,0,16,0,0,0,0
2019-08-31T11:23:30.94384822Z,4658,3646591331,10077732,185537828,29541664,3179117,5351440,7148269,3288123563,117631718,28770304,0,2147483648,2443,0,0,17,0,0,0,0
2019-08-31T11:23:31.968449446Z,5683,4416372102,14787990,185550679,29551334,3179117,5909777,7148269,4052613218,117631718,38416384,0,2147483648,2726,0,0,19,0,0,0,0
2019-08-31T11:23:32.991877729Z,6706,5182995046,14836256,185550679,29551334,3179117,6215925,7497087,4818532930,117631718,38416384,0,2147483648,2726,0,0,19,0,0,0,0
2019-08-31T11:23:34.023505207Z,7738,5693601987,14964385,185550679,29551334,3259526,6287781,8720285,5327636279,117631718,38477824,0,2147483648,2726,0,0,19,0,0,0,0
2019-08-31T11:23:35.060966733Z,8775,5704044889,15021279,185599517,29551334,3259526,7027116,17730083,5328224316,117631718,47222784,0,2147483648,2906,0,0,20,0,0,0,0
2019-08-31T11:23:36.095078113Z,9810,5705533074,15021279,185599517,29551334,3259526,7590091,18011748,5328867861,117631718,47222784,0,2147483648,2906,0,0,20,0,0,0,0
2019-08-31T11:23:37.124194821Z,10839,5706913448,15021279,185599517,29551334,3259526,8045118,18310894,5329494062,117631718,47222784,0,2147483648,2906,0,0,20,0,0,0,0
2019-08-31T11:23:38.148471819Z,11863,5707640702,15021279,185599517,29551334,3259526,8351793,18364212,5329562616,117930425,47222784,0,2147483648,2906,0,0,20,0,0,0,0
2019-08-31T11:23:39.17391226Z,12888,5720736882,15021279,185665950,29551334,3366483,8836958,30362571,5329562616,118369691,55857152,0,2147483648,2906,0,0,20,0,0,0,0
2019-08-31T11:23:40.202166762Z,13917,5721564642,15021279,185665950,29551334,3366483,8908546,30926818,5329562616,118561616,55857152,0,2147483648,2976,0,0,21,0,0,0,0
2019-08-31T11:23:41.233576615Z,14948,5722366058,15021279,185665950,29551334,3366483,8908546,31683120,5329607730,118561616,55857152,0,2147483648,2976,0,0,21,0,0,0,0
2019-08-31T11:23:42.264058077Z,15979,5723255074,15047090,185665950,29551334,3366483,8908546,32255691,5329898364,118561616,55959552,0,2147483648,2976,0,0,21,0,0,0,0
2019-08-31T11:23:43.293259899Z,17008,5724928699,15333356,185665950,29689768,3366483,8908546,33504616,5329898364,118561616,57090048,0,2147483648,3156,0,0,22,0,0,0,0
2019-08-31T11:23:44.324667499Z,18039,5727678542,15333356,185665950,29797370,3366483,8908546,36112669,5329898364,118595804,59256832,0,2147483648,3156,0,0,22,0,0,0,0
2019-08-31T11:23:45.354204037Z,19069,5729836245,15333356,185665950,30257881,3366483,8908546,37809861,5329898364,118595804,61497344,0,2147483648,3156,0,0,22,0,0,0,0
2019-08-31T11:23:46.387889584Z,20102,5731989902,15333356,185665950,30421713,3366483,8908546,39587409,5329898364,118808081,63737856,0,2147483648,3156,0,0,22,0,0,0,0
2019-08-31T11:23:47.415658502Z,21130,5747745510,15333356,185665950,30862338,3366483,8908546,40688963,5344111793,118808081,83951616,0,2147483648,3156,0,0,22,0,0,0,0
2019-08-31T11:23:48.444232356Z,22159,5748626835,15333356,185665950,30862338,3366483,8908546,41520521,5344161560,118808081,83951616,0,2147483648,3156,0,0,22,0,0,0,0
2019-08-31T11:23:49.477477911Z,23192,5749592283,15333356,185665950,30901554,3366483,8908546,42000540,5344607773,118808081,83951616,0,2147483648,3156,0,0,22,0,0,0,0
2019-08-31T11:23:50.506400728Z,24221,5750406056,15333356,185665950,31179035,3459680,8908546,42057683,5344993725,118808081,83951616,0,2147483648,3156,0,0,22,0,0,0,0
2019-08-31T11:23:51.530052377Z,25245,5751282074,15423694,185864986,31179035,3590171,8908546,42460881,5345046680,118808081,83951616,0,2147483648,3156,0,0,22,0,0,0,0
2019-08-31T11:23:52.555684632Z,26270,5752096804,15423694,186117996,31179035,3709141,8908546,42861964,5345088347,118808081,83951616,0,2147483648,3156,0,0,22,0,0,0,0
2019-08-31T11:23:53.585037758Z,27300,5752956764,15783484,186482065,31179035,3709141,8908546,42957970,5345128442,118808081,83951616,0,2147483648,3156,0,0,22,0,0,0,0
2019-08-31T11:23:54.614727186Z,28329,5753801715,16101089,186761624,31179035,3709141,8908546,43093969,5345240230,118808081,83951616,0,2147483648,3156,0,0,22,0,0,0,0
2019-08-31T11:23:55.647934737Z,29362,5769636902,16506605,201991772,31179035,3709141,8908546,43241751,5345291971,118808081,105717760,0,2147483648,3156,0,0,22,0,0,0,0
