timeStamp,stats_time,stats_total_cpu_usage,cpu_0,cpu_1,cpu_2,cpu_3,cpu_4,cpu_5,cpu_6,cpu_7,memory_usage,memory_cache,memory_limit,rx_bytes,rx_dropped,rx_errors,rx_packets,tx_bytes,tx_dropped,tx_errors,tx_packets
2019-08-31T10:35:44.164811591Z,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-08-31T10:35:44.222891507Z,53,216689029,666467,138737,514340,22374053,32091694,152602099,6172111,2129528,6787072,0,268435456,266,0,0,3,0,0,0,0
2019-08-31T10:35:45.249241128Z,1080,478126434,2018455,436639,1397164,39775722,125884662,239110905,28466653,41036234,23015424,0,268435456,1097,0,0,10,0,0,0,0
2019-08-31T10:35:46.272328088Z,2103,723714303,237180290,528110,4189258,41195241,126029384,239277732,30189085,45125203,24813568,0,268435456,2050,0,0,15,0,0,0,0
2019-08-31T10:35:47.297609171Z,3128,970213097,483089915,528110,4189258,41218014,126202519,239277732,30531308,45176241,25198592,0,268435456,2263,0,0,16,0,0,0,0
2019-08-31T10:35:48.323718297Z,4154,1222582178,734068325,528110,4189258,41233506,126202519,239277732,30755882,46326846,26357760,0,268435456,2443,0,0,17,0,0,0,0
2019-08-31T10:35:49.346532697Z,5177,1479520924,986986529,4028752,4189258,41461788,126202519,239277732,31000981,46373365,29683712,0,268435456,2726,0,0,19,0,0,0,0
2019-08-31T10:35:50.368825918Z,6199,1742700083,1249467524,4076166,4203529,41477640,126202519,239277732,31196633,46798340,30199808,0,268435456,2726,0,0,19,0,0,0,0
2019-08-31T10:35:51.392014844Z,7223,1989807759,1495338923,4376476,4203529,41717027,126202519,239277732,31196633,47494920,32309248,0,268435456,2726,0,0,19,0,0,0,0
2019-08-31T10:35:52.415531984Z,8246,2239981024,1741680240,5159477,7052431,41717027,126202519,239277732,31196633,47694965,40841216,0,268435456,2906,0,0,20,0,0,0,0
2019-08-31T10:35:53.442283956Z,9273,2493460112,1994725527,5379755,7109649,41717027,126202519,239277732,31196633,47851270,40841216,0,268435456,2906,0,0,20,0,0,0,0
2019-08-31T10:35:54.465294828Z,10296,2759852407,2247312810,5621483,7163420,41933305,139480104,239277732,31196633,47866920,40841216,0,268435456,2906,0,0,20,0,0,0,0
2019-08-31T10:35:55.488585919Z,11319,3006719785,2247312810,5992376,12935999,42119436,379972776,239277732,31196633,47912023,49242112,0,268435456,2906,0,0,20,0,0,0,0
2019-08-31T10:35:56.513617299Z,12344,3253488547,2247312810,6349142,12997345,42137389,626067776,239277732,31196633,48149720,49242112,0,268435456,2976,0,0,21,0,0,0,0
2019-08-31T10:35:57.541376737Z,13372,3507422576,2247312810,6690998,13054608,42137389,879440042,239277732,31196633,48312364,49188864,0,268435456,2976,0,0,21,0,0,0,0
2019-08-31T10:35:58.565182745Z,14396,3777554038,2247312810,7193143,13114322,42137389,1148835711,239277732,31196633,48486298,49389568,0,268435456,2976,0,0,21,0,0,0,0
2019-08-31T10:35:59.589398141Z,15420,4020922841,2247312810,8978472,13114322,42218149,1390140985,239277732,31196633,48683738,51146752,0,268435456,2976,0,0,21,0,0,0,0
2019-08-31T10:36:00.622369397Z,16453,4269079690,2247312810,10680300,13124827,42337030,1636369584,239277732,31196633,48780774,53387264,0,268435456,3156,0,0,22,0,0,0,0
2019-08-31T10:36:01.651688032Z,17482,4534901542,2247312810,12773515,13124827,42695749,1903068040,239277732,31196633,48780774,56139776,0,268435456,3156,0,0,22,0,0,0,0
2019-08-31T10:36:02.675638947Z,18506,4795223010,2247312810,13332505,13124827,51842224,2150355505,239277732,31196633,48780774,72773632,0,268435456,3156,0,0,22,0,0,0,0
2019-08-31T10:36:03.701191292Z,19532,5045247407,2247312810,13550121,13124827,52214309,2399790201,239277732,31196633,48780774,72699904,0,268435456,3156,0,0,22,0,0,0,0
2019-08-31T10:36:04.727236741Z,20558,5292115101,2247312810,13913298,13124827,52374585,2646053556,239277732,31196633,48861660,72699904,0,268435456,3156,0,0,22,0,0,0,0
2019-08-31T10:36:05.749830404Z,21580,5556214034,2247312810,13913298,13455638,52642144,2909554119,239277732,31196633,48861660,72699904,0,268435456,3156,0,0,22,0,0,0,0
2019-08-31T10:36:06.772051498Z,22603,5816367507,2247312810,14296605,13455638,52902483,3169063946,239277732,31196633,48861660,72699904,0,268435456,3156,0,0,22,0,0,0,0
2019-08-31T10:36:07.795239859Z,23626,6066479805,2247312810,14648951,13455638,52985775,3418560728,239277732,31196633,49041538,72699904,0,268435456,3156,0,0,22,0,0,0,0
2019-08-31T10:36:08.818718574Z,24649,6313200676,2247312810,14929689,13455638,53118641,3664776253,239277732,31196633,49133280,72699904,0,268435456,3156,0,0,22,0,0,0,0
2019-08-31T10:36:09.843583591Z,25674,6567335018,2247312810,15271203,13455638,67847524,3903626163,239277732,31196633,49347315,90927104,0,268435456,3156,0,0,22,0,0,0,0
2019-08-31T10:36:10.865663413Z,26696,6830779134,2247312810,15631015,13480685,68079273,4166453671,239277732,31196633,49347315,90927104,0,268435456,3226,0,0,23,0,0,0,0
2019-08-31T10:36:11.895781049Z,27726,6994159395,2247312810,15984038,13559962,69208588,4328234119,239277732,31196633,49385513,90951680,0,268435456,3226,0,0,23,0,0,0,0
2019-08-31T10:36:12.930796557Z,28761,6995616461,2247312810,16673592,13559962,69302289,4328234119,239277732,31196633,50059324,90951680,0,268435456,3226,0,0,23,0,0,0,0
