128,256,512,1024,2048,3008
1.1445,2.3831,5.2237,10.5698,23.3843,32.8945
1.1587,2.3707,5.1324,10.573,23.8481,33.3505
1.1637,2.3867,5.2208,10.6098,22.6317,32.8039
1.1488,2.3403,5.0237,10.419,22.3282,32.6305
1.1292,2.3461,4.7667,10.4875,22.2007,32.2666
1.1872,2.3764,5.3316,10.5085,23.3902,33.2619
1.1689,2.3524,5.2224,10.4641,23.2923,32.9936
1.1323,2.3648,5.1748,10.4641,23.0031,32.5828
1.1059,2.355,5.1024,10.312,23.355,33.1208
1.1614,2.3743,5.1647,10.4959,23.4039,33.0307
1.1038,2.3557,4.7359,10.3916,23.1455,33.4371
1.1637,2.3706,5.2012,10.5296,23.584,33.411
1.1389,2.3745,5.258,10.4849,23.3397,33.5765
1.1488,2.3897,5.2013,10.5414,23.5531,33.1551
