Profile of container sha256:015f433317e1d09c502545800e2e473d2fc3a250df3ba1b4d81f8759e92810bd was created at 2019-07-14T08:52:54.273904220. size: 100.
timeStamp,time,user,system,stats_time,stats_total_cpu_usage,cpu_0,cpu_1,cpu_2,cpu_3,cpu_4,cpu_5,cpu_6,cpu_7,rx_bytes,rx_dropped,rx_errors,rx_packets,tx_bytes,tx_dropped,tx_errors,tx_packets
2019-07-14T08:52:54.27390422Z,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-07-14T08:52:55.279711383Z,1038,49,3,1001,610113276,81158610,386972411,17881759,32434772,11599832,12499095,37211328,30355469,266,0,0,3,0,0,0,0
2019-07-14T08:52:56.287980515Z,2015,50,3,2009,744697958,98099079,410412458,34823052,48306436,27105301,27089108,52523486,46339038,1281,0,0,10,0,0,0,0
2019-07-14T08:52:57.290403295Z,3023,69,3,3012,943821449,123370842,434087428,59441768,72767613,51436203,52750644,77878950,72088001,1604,0,0,12,0,0,0,0
2019-07-14T08:52:58.295478903Z,4024,92,4,4017,1204004536,157752522,468129032,94337609,108126792,79272184,85130971,108714288,102541138,1817,0,0,13,0,0,0,0
2019-07-14T08:52:59.301822033Z,5026,118,4,5023,1588499680,204129627,516904532,143416540,153758666,128606690,133716608,157310358,150656659,1817,0,0,13,0,0,0,0
2019-07-14T08:53:00.303673954Z,6027,166,4,6025,2036771843,259942199,571707838,199442254,209735154,184739132,190342418,213789504,207073344,2100,0,0,15,0,0,0,0
2019-07-14T08:53:01.304597428Z,7029,218,4,7026,2564076620,324264963,637866897,265073126,276370347,249945598,256705067,280091691,273758931,2100,0,0,15,0,0,0,0
2019-07-14T08:53:02.308111007Z,8032,269,4,8030,3153708617,396836431,710645837,340352678,345231782,326271436,332281333,355627412,346461708,2100,0,0,15,0,0,0,0
2019-07-14T08:53:03.308901506Z,9033,323,5,9030,3790195519,466905347,792742780,418371807,422675300,403068602,417828271,435464604,433138808,2100,0,0,15,0,0,0,0
2019-07-14T08:53:04.310469025Z,10034,398,5,10032,4551228929,562129164,888488768,514506234,517768658,497068117,514058878,530634322,526574788,2100,0,0,15,0,0,0,0
2019-07-14T08:53:05.312084949Z,11036,477,5,11034,5368648733,663491146,989590665,613448268,620686020,602391312,613989418,634424055,630627849,2100,0,0,15,0,0,0,0
2019-07-14T08:53:06.314358075Z,12038,555,5,12036,6274157991,776752708,1104995997,726542450,727469171,718291006,729668953,745621586,744816120,2100,0,0,15,0,0,0,0
2019-07-14T08:53:07.316606879Z,13041,653,6,13038,7256788950,897696780,1226580201,852797952,850907020,835973637,853281336,869254255,870297769,2100,0,0,15,0,0,0,0
2019-07-14T08:53:08.318731903Z,14043,757,6,14040,8327741096,1031264050,1362762492,985951431,985015631,964867143,987998087,1004273561,1005608701,2170,0,0,16,0,0,0,0
2019-07-14T08:53:09.319733881Z,15043,861,6,15041,9472007562,1175029053,1497851314,1130890491,1130070437,1111103869,1133373010,1147664241,1146025147,2170,0,0,16,0,0,0,0
2019-07-14T08:53:10.322187376Z,16047,982,6,16044,10649639708,1328454368,1639322180,1263848002,1279052240,1263755458,1288377893,1301501320,1285328247,2170,0,0,16,0,0,0,0
2019-07-14T08:53:11.324317055Z,17048,1106,7,17046,11909933297,1489000149,1800331205,1417111583,1420787010,1420001429,1451421218,1463517358,1447763345,2170,0,0,16,0,0,0,0
2019-07-14T08:53:12.325151171Z,18049,1237,7,18047,13278797794,1659113284,1969532113,1586343024,1594413415,1587395771,1626272427,1635581481,1620146279,2170,0,0,16,0,0,0,0
2019-07-14T08:53:13.327514548Z,19052,1371,19,19049,14758413669,1843289788,2151512626,1772077264,1779365845,1773653227,1810256696,1822003077,1806255146,2170,0,0,16,0,0,0,0
2019-07-14T08:53:14.330260901Z,20055,1521,19,20052,16284558870,2037172768,2344923256,1945630357,1972123135,1966741537,2002882612,2015963486,1999121719,2170,0,0,16,0,0,0,0
2019-07-14T08:53:15.332466693Z,21057,1677,19,21054,17882685219,2238205575,2549763669,2136063548,2171881550,2170960629,2201342457,2214701274,2199766517,2170,0,0,16,0,0,0,0
2019-07-14T08:53:16.333671721Z,22058,1835,19,22055,19593693811,2454430565,2763703550,2351644128,2383399618,2385801457,2413728077,2429450031,2411536385,2170,0,0,16,0,0,0,0
2019-07-14T08:53:17.337119459Z,23061,2014,20,23059,21381721256,2673710308,2986909031,2576985098,2605947580,2608571771,2636109381,2655800078,2637688009,2170,0,0,16,0,0,0,0
2019-07-14T08:53:18.338845696Z,24062,2194,20,24060,23220366778,2906078285,3220849200,2807659946,2840715654,2839478607,2869437246,2863642490,2872505350,2170,0,0,16,0,0,0,0
2019-07-14T08:53:19.339675169Z,25065,2378,20,25061,25139022457,3148640720,3451994851,3052307387,3082875914,3075196511,3111239719,3104533410,3112233945,2170,0,0,16,0,0,0,0
2019-07-14T08:53:20.344688338Z,26070,2581,20,26066,27137800130,3399881344,3676469327,3306438040,3333824478,3328208905,3366226784,3359258447,3367492805,2170,0,0,16,0,0,0,0
2019-07-14T08:53:21.347581031Z,27072,2790,20,27069,29227267327,3666023211,3940018916,3564643834,3596107845,3588354945,3629823072,3610577370,3631718134,2170,0,0,16,0,0,0,0
2019-07-14T08:53:22.349735722Z,28074,2999,21,28071,31385854405,3937142452,4209582817,3832819711,3869825897,3860799190,3900812656,3869782000,3905089682,2170,0,0,16,0,0,0,0
2019-07-14T08:53:23.350848635Z,29075,3213,29,29072,33641640800,4220298790,4493125953,4113800917,4149334924,4145018564,4179144078,4154817333,4186100241,2170,0,0,16,0,0,0,0
