timeStamp,stats_time,stats_total_cpu_usage,cpu_0,cpu_1,cpu_2,cpu_3,cpu_4,cpu_5,cpu_6,cpu_7,memory_usage,memory_cache,memory_limit,rx_bytes,rx_dropped,rx_errors,rx_packets,tx_bytes,tx_dropped,tx_errors,tx_packets
2019-08-31T10:42:10.744670037Z,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-08-31T10:42:11.310162245Z,561,603257026,263927404,2808723,6688413,31932568,926795,5090650,137333035,154549438,22417408,0,2147483648,180,0,0,2,0,0,0,0
2019-08-31T10:42:12.333761282Z,1584,1345316320,562274538,2808723,9903339,471398967,1219712,5142706,137333035,155235300,28332032,0,2147483648,266,0,0,3,0,0,0,0
2019-08-31T10:42:13.358621581Z,2609,2108484271,562274538,2808723,9951400,1234058053,1439480,5161832,137333035,155457210,28332032,0,2147483648,1870,0,0,14,0,0,0,0
2019-08-31T10:42:14.381831632Z,3632,2871134402,562274538,2808723,9998569,1996083242,1529157,5314845,137333035,155792293,28463104,0,2147483648,2050,0,0,15,0,0,0,0
2019-08-31T10:42:15.405079578Z,4656,3633971746,562274538,2808723,10047436,2758220989,1558562,5526775,137333035,156201688,28925952,0,2147483648,2263,0,0,16,0,0,0,0
2019-08-31T10:42:16.430305901Z,5681,4376720905,562274538,2816796,14616268,3495888449,1569861,5772454,137333035,156449504,38453248,0,2147483648,2443,0,0,17,0,0,0,0
2019-08-31T10:42:17.455292985Z,6706,5140024603,562274538,2816796,14662568,4258695407,1748504,5840252,137333035,156653503,38453248,0,2147483648,2726,0,0,19,0,0,0,0
2019-08-31T10:42:18.48852327Z,7739,5557895602,562479649,2831542,14802273,4675002717,2611720,6080716,137333035,156753950,38604800,0,2147483648,2726,0,0,19,0,0,0,0
2019-08-31T10:42:19.520477934Z,8771,5568985683,563534087,2831542,24043665,4675002717,2675821,6810866,137333035,156753950,47263744,0,2147483648,2906,0,0,20,0,0,0,0
2019-08-31T10:42:20.557288457Z,9808,5570316325,563534087,3417362,24120247,4675002717,2675821,7479106,137333035,156753950,47263744,0,2147483648,2906,0,0,20,0,0,0,0
2019-08-31T10:42:21.590964793Z,10841,5571663356,563949123,3630803,24194573,4675002717,2751816,8047339,137333035,156753950,47263744,0,2147483648,2906,0,0,20,0,0,0,0
2019-08-31T10:42:22.62781799Z,11878,5573154912,563949123,4358135,24267551,4675002717,3443062,8047339,137333035,156753950,47263744,0,2147483648,2906,0,0,20,0,0,0,0
2019-08-31T10:42:23.660652953Z,12911,5586687727,563949123,5040876,36415983,4675002717,4109377,8082666,137333035,156753950,55926784,0,2147483648,2906,0,0,20,0,0,0,0
2019-08-31T10:42:24.694097939Z,13945,5588021488,563949123,5632422,36492561,4675002717,4164865,8692815,137333035,156753950,55926784,0,2147483648,2906,0,0,20,0,0,0,0
2019-08-31T10:42:25.730551438Z,14981,5589628026,563949123,6362130,36588753,4675002717,4746975,8891343,137333035,156753950,55926784,0,2147483648,2976,0,0,21,0,0,0,0
2019-08-31T10:42:26.764451629Z,16015,5591278309,563949123,7188990,36693645,4675002717,4746975,9609874,137333035,156753950,56057856,0,2147483648,2976,0,0,21,0,0,0,0
2019-08-31T10:42:27.801082021Z,17052,5594444725,563949123,9508315,36766398,4675002717,5000815,10130372,137333035,156753950,57085952,0,2147483648,3156,0,0,22,0,0,0,0
2019-08-31T10:42:28.832399302Z,18083,5598735363,563949123,12995911,36840429,4675002717,5000815,10859383,137333035,156753950,59445248,0,2147483648,3156,0,0,22,0,0,0,0
2019-08-31T10:42:29.865400488Z,19116,5602804411,563949123,16316580,36840429,4675002717,5314939,11293638,137333035,156753950,61673472,0,2147483648,3156,0,0,22,0,0,0,0
2019-08-31T10:42:30.899731618Z,20150,5607333455,563949123,20066400,36840429,4675002717,5314939,12072862,137333035,156753950,63807488,0,2147483648,3156,0,0,22,0,0,0,0
2019-08-31T10:42:31.931169692Z,21182,5628214446,563949123,21239673,36840429,4675002717,5476872,31618647,137333035,156753950,84041728,0,2147483648,3156,0,0,22,0,0,0,0
2019-08-31T10:42:32.964093966Z,22215,5629661196,563949123,21910882,36840429,4675002717,6178967,31692093,137333035,156753950,84021248,0,2147483648,3156,0,0,22,0,0,0,0
2019-08-31T10:42:34.001415062Z,23252,5631298877,563949123,22756597,36840429,4675002717,6560237,32102789,137333035,156753950,84021248,0,2147483648,3156,0,0,22,0,0,0,0
2019-08-31T10:42:35.034183377Z,24285,5632836210,563949123,23508082,36840429,4675002717,7269643,32179231,137333035,156753950,84021248,0,2147483648,3156,0,0,22,0,0,0,0
2019-08-31T10:42:36.067553409Z,25318,5634449611,563949123,24115812,37000644,4675002717,8036968,32257362,137333035,156753950,84021248,0,2147483648,3156,0,0,22,0,0,0,0
2019-08-31T10:42:37.101031606Z,26352,5635957793,563949123,24115812,37693930,4675002717,8777086,32332140,137333035,156753950,84021248,0,2147483648,3156,0,0,22,0,0,0,0
2019-08-31T10:42:38.137138039Z,27388,5637473826,563949123,24574899,37918946,4675002717,9531396,32409760,137333035,156753950,84021248,0,2147483648,3156,0,0,22,0,0,0,0
2019-08-31T10:42:39.169120769Z,28420,5638855160,563949123,25180631,37918946,4675002717,10238159,32478599,137333035,156753950,84021248,0,2147483648,3156,0,0,22,0,0,0,0
2019-08-31T10:42:40.199119737Z,29450,5661880097,563949123,25814766,37918946,4675002717,10811556,54296004,137333035,156753950,105791488,0,2147483648,3156,0,0,22,0,0,0,0
