timeStamp,stats_time,stats_total_cpu_usage,cpu_0,cpu_1,cpu_2,cpu_3,cpu_4,cpu_5,cpu_6,cpu_7,memory_usage,memory_cache,memory_limit,rx_bytes,rx_dropped,rx_errors,rx_packets,tx_bytes,tx_dropped,tx_errors,tx_packets
2019-08-31T10:29:43.172203498Z,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-08-31T10:29:43.285602935Z,109,220847055,1788008,384913,1653735,293058,23728555,5368151,181485411,6145224,7667712,0,268435456,90,0,0,1,0,0,0,0
2019-08-31T10:29:44.310162168Z,1134,469356273,44687189,551749,3780456,6339027,178863704,5600322,223200999,6332827,21221376,0,268435456,266,0,0,3,0,0,0,0
2019-08-31T10:29:45.338326755Z,2162,703876923,64288700,602921,5833801,164578590,223455684,6408455,232167994,6540778,22896640,0,268435456,1870,0,0,14,0,0,0,0
2019-08-31T10:29:46.361976253Z,3185,977157976,64386397,602921,6195434,431046641,223544966,12383620,232171460,6826537,24956928,0,268435456,2050,0,0,15,0,0,0,0
2019-08-31T10:29:47.387226657Z,4211,1221112534,64386397,602921,6791222,438608170,457716066,13754737,232171460,7081561,26533888,0,268435456,2263,0,0,16,0,0,0,0
2019-08-31T10:29:48.413458284Z,5237,1471419591,64386397,602921,7139511,438608170,702123062,19061905,232171460,7326165,29978624,0,268435456,2513,0,0,18,0,0,0,0
2019-08-31T10:29:49.442951158Z,6266,1725869165,64386397,602921,7691757,438608170,955547943,19166827,232171460,7693690,29990912,0,268435456,2726,0,0,19,0,0,0,0
2019-08-31T10:29:50.472070576Z,7296,1990374989,64396068,602921,8926556,438608170,1218528065,19240743,232184944,7887522,32034816,0,268435456,2726,0,0,19,0,0,0,0
2019-08-31T10:29:51.497419689Z,8321,2238251580,64396068,602921,10165776,438608170,1460442024,23793011,232356088,7887522,41017344,0,268435456,2906,0,0,20,0,0,0,0
2019-08-31T10:29:52.524138739Z,9348,2485034658,64396068,602921,10454330,438608170,1706725672,23864683,232495292,7887522,41017344,0,268435456,2906,0,0,20,0,0,0,0
2019-08-31T10:29:53.548700542Z,10372,2749265306,64396068,602921,10726513,438608170,1970398887,23947653,232697572,7887522,41017344,0,268435456,2906,0,0,20,0,0,0,0
2019-08-31T10:29:54.571954063Z,11395,3009472277,64396068,602921,11005660,438608170,2230097307,24019928,232854701,7887522,41029632,0,268435456,2906,0,0,20,0,0,0,0
2019-08-31T10:29:55.598042562Z,12422,3256427225,64456018,602921,11315613,438608170,2465843484,34593127,233120370,7887522,49373184,0,268435456,2906,0,0,20,0,0,0,0
2019-08-31T10:29:56.6237275Z,13447,3503368964,64456018,602921,11617103,438608170,2712186174,34702120,233120370,8076088,49373184,0,268435456,2976,0,0,21,0,0,0,0
2019-08-31T10:29:57.650517773Z,14474,3767866863,64456018,602921,12082618,438608170,2975847120,34881159,233120370,8268487,49635328,0,268435456,2976,0,0,21,0,0,0,0
2019-08-31T10:29:58.672048305Z,15496,4025607091,64456018,602921,13176406,438608170,3232141545,34976967,233120370,8524694,50884608,0,268435456,2976,0,0,21,0,0,0,0
2019-08-31T10:29:59.697369475Z,16521,4273549804,64473063,602921,14514482,438608170,3478466586,35046140,233260650,8577792,53243904,0,268435456,3156,0,0,22,0,0,0,0
2019-08-31T10:30:00.725101517Z,17549,4521748955,64473063,602921,16253982,438608170,3724630112,35102560,233260650,8817497,55365632,0,268435456,3156,0,0,22,0,0,0,0
