timeStamp,stats_time,stats_total_cpu_usage,cpu_0,cpu_1,cpu_2,cpu_3,cpu_4,cpu_5,cpu_6,cpu_7,memory_usage,memory_cache,memory_limit,rx_bytes,rx_dropped,rx_errors,rx_packets,tx_bytes,tx_dropped,tx_errors,tx_packets
2019-08-31T11:29:37.506150171Z,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-08-31T11:29:38.103179829Z,593,619091162,15292679,44962071,251361351,153756637,3392342,112988232,13125537,24212313,22437888,0,2147483648,176,0,0,2,0,0,0,0
2019-08-31T11:29:39.125465669Z,1615,1366148754,15292679,44962071,994097519,156966553,4089542,113105630,13321035,24313725,28577792,0,2147483648,1007,0,0,9,0,0,0,0
2019-08-31T11:29:40.149460002Z,2639,2119535107,15292679,44962071,1746929692,157013962,4336021,113105630,13581327,24313725,28577792,0,2147483648,2050,0,0,15,0,0,0,0
2019-08-31T11:29:41.171710465Z,3661,2882764862,15292679,44962071,2509517178,157061787,4674605,113105630,13720096,24430816,28708864,0,2147483648,2263,0,0,16,0,0,0,0
2019-08-31T11:29:42.196612873Z,4686,3646132650,15292679,44962071,3272145604,157109023,4886461,113296996,13767289,24672527,29114368,0,2147483648,2443,0,0,17,0,0,0,0
2019-08-31T11:29:43.218749681Z,5708,4402606192,15292679,44971629,4023504303,161662452,4886461,113568240,13767289,24953139,38760448,0,2147483648,2726,0,0,19,0,0,0,0
2019-08-31T11:29:44.243417816Z,6733,5149351820,15292679,44971629,4769754430,161710465,4886461,113779685,13767289,25189182,38760448,0,2147483648,2726,0,0,19,0,0,0,0
2019-08-31T11:29:45.277421707Z,7767,5606836083,15358070,45675881,5225675173,161822288,4886461,114089843,14139185,25189182,38785024,0,2147483648,2726,0,0,19,0,0,0,0
2019-08-31T11:29:46.310138973Z,8800,5617289000,15358070,45675881,5225675173,171145792,4886461,114733480,14482459,25331684,47640576,0,2147483648,2906,0,0,20,0,0,0,0
2019-08-31T11:29:47.341915047Z,9831,5618130950,15358070,45675881,5225675173,171214087,4886461,115113872,14547692,25659714,47534080,0,2147483648,2906,0,0,20,0,0,0,0
2019-08-31T11:29:48.375775837Z,10865,5619059598,15358070,45675881,5225675173,171251393,4886461,115564612,14988294,25659714,47534080,0,2147483648,2906,0,0,20,0,0,0,0
2019-08-31T11:29:49.407742353Z,11897,5620073504,15358070,45675881,5225675173,171269423,4886461,116070643,15074754,26063099,47534080,0,2147483648,2906,0,0,20,0,0,0,0
2019-08-31T11:29:50.434105254Z,12924,5629461282,15393184,45699664,5225675173,179506313,4886461,116596680,15317403,26386404,56197120,0,2147483648,2976,0,0,21,0,0,0,0
2019-08-31T11:29:51.467196763Z,13957,5630326820,15811883,45699664,5225675173,179566584,4886461,116983248,15317403,26386404,56197120,0,2147483648,2976,0,0,21,0,0,0,0
2019-08-31T11:29:52.496889072Z,14986,5631324614,16264113,45699664,5225675173,179620861,4886461,117474535,15317403,26386404,56197120,0,2147483648,2976,0,0,21,0,0,0,0
2019-08-31T11:29:53.528857812Z,16018,5632464444,16525208,45699664,5225675173,179620861,4985849,118066178,15505107,26386404,56299520,0,2147483648,2976,0,0,21,0,0,0,0
2019-08-31T11:29:54.561289729Z,17051,5634555967,16913450,45699664,5225675173,179620861,5028989,118909057,16322369,26386404,57430016,0,2147483648,3156,0,0,22,0,0,0,0
2019-08-31T11:29:55.588026742Z,18078,5637518867,17356003,45729136,5225675173,179620861,5072425,121356496,16322369,26386404,59596800,0,2147483648,3156,0,0,22,0,0,0,0
2019-08-31T11:29:56.621382088Z,19111,5639968232,17789582,45729136,5225675173,179620861,5104918,123339789,16322369,26386404,61956096,0,2147483648,3156,0,0,22,0,0,0,0
2019-08-31T11:29:57.645260114Z,20135,5642796905,17847459,45729136,5225675173,179620861,5141609,125681373,16697749,26403545,64196608,0,2147483648,3156,0,0,22,0,0,0,0
2019-08-31T11:29:58.676172756Z,21166,5661070151,17847459,45729136,5225675173,179620861,22108153,126506809,16697749,26884811,84291584,0,2147483648,3156,0,0,22,0,0,0,0
2019-08-31T11:29:59.707193908Z,22197,5662146519,17990406,45729136,5225711955,179620861,22173633,126930890,16697749,27291889,84291584,0,2147483648,3156,0,0,22,0,0,0,0
2019-08-31T11:30:00.739428085Z,23229,5662907325,18009406,45745879,5225761493,179620861,22212355,127291287,16697749,27568295,84291584,0,2147483648,3156,0,0,22,0,0,0,0
2019-08-31T11:30:01.770490767Z,24260,5663912297,18009406,45745879,5225761493,179620861,22276981,127795792,16697749,28004136,84291584,0,2147483648,3156,0,0,22,0,0,0,0
2019-08-31T11:30:02.797176384Z,25287,5664770296,18009406,45745879,5226227316,179620861,22315365,128149584,16697749,28004136,84291584,0,2147483648,3156,0,0,22,0,0,0,0
2019-08-31T11:30:03.830477582Z,26320,5665798792,18009406,45745879,5226459592,179620861,22347441,128661157,16697749,28256707,84291584,0,2147483648,3156,0,0,22,0,0,0,0
2019-08-31T11:30:04.861846743Z,27351,5666848230,18028704,45763952,5226638002,179620861,22413919,129116618,16697749,28568425,84291584,0,2147483648,3156,0,0,22,0,0,0,0
2019-08-31T11:30:05.890190666Z,28380,5667674688,18028704,45763952,5227006872,179620861,22453320,129534805,16697749,28568425,84291584,0,2147483648,3156,0,0,22,0,0,0,0
2019-08-31T11:30:06.919266974Z,29409,5690830210,18028704,45763952,5227394454,179620861,44662584,130093481,16697749,28568425,106061824,0,2147483648,3226,0,0,23,0,0,0,0
